fips,median_household_income
20023,"42,247"
20025,"51,621"
20027,"50,634"
20029,"46,241"
20031,"57,021"
20033,"46,636"
20035,"46,703"
20037,"39,461"
20039,"42,077"
20041,"52,562"
20043,"48,553"
20045,"56,007"
20047,"47,725"
20049,"39,556"
20051,"49,715"
20053,"51,355"
20055,"54,534"
20057,"50,080"
20059,"55,330"
20061,"52,012"
20063,"47,029"
20065,"41,138"
20067,"59,534"
20069,"67,671"
20071,"48,647"
20073,"40,741"
20075,"47,454"
20077,"44,594"
20079,"55,470"
20081,"54,145"
20083,"51,962"
20085,"49,779"
20087,"66,044"
20089,"43,234"
20091,"83,516"
20093,"50,526"
20095,"50,081"
20097,"44,374"
20099,"46,819"
20101,"55,083"
20103,"70,740"
20105,"43,865"
20107,"47,300"
20109,"48,024"
20111,"47,279"
20113,"55,686"
20115,"49,980"
20117,"49,466"
20119,"56,397"
20121,"69,327"
20123,"43,743"
20125,"45,808"
20127,"49,561"
20129,"50,698"
20131,"58,729"
20133,"44,073"
20135,"49,258"
20137,"47,697"
20139,"53,537"
20141,"42,832"
20143,"46,585"
20145,"47,677"
20147,"47,196"
20149,"65,956"
20151,"56,540"
20153,"44,596"
20155,"48,588"
20157,"44,247"
20159,"51,102"
20161,"50,212"
20163,"44,086"
20165,"44,203"
20167,"43,139"
20169,"50,072"
20171,"59,798"
20173,"54,176"
20175,"46,541"
20177,"56,810"
20179,"51,363"
20181,"45,991"
20183,"41,047"
20185,"46,396"
20187,"57,769"
20189,"56,569"
20191,"53,212"
20193,"53,249"
20195,"46,634"
20197,"63,690"
20199,"52,621"
20201,"47,889"
20203,"54,401"
20205,"41,866"
20207,"38,840"
20209,"46,032"
21001,"35,026"
21003,"40,955"
21005,"53,113"
21007,"44,010"
21009,"41,477"
21011,"40,507"
21013,"28,150"
21015,"78,163"
21017,"46,281"
21019,"40,752"
21021,"48,290"
21023,"49,416"
21025,"27,372"
21027,"43,148"
21029,"62,550"
21031,"47,146"
21033,"42,857"
21035,"43,554"
21037,"61,384"
21039,"42,019"
21041,"48,404"
21043,"37,186"
21045,"31,395"
21047,"43,124"
21049,"53,784"
21051,"26,386"
21053,"29,641"
21055,"41,522"
21057,"31,736"
21059,"50,359"
21061,"39,490"
21063,"32,846"
21065,"34,096"
21067,"56,192"
21069,"41,029"
21071,"32,841"
21073,"53,198"
21075,"30,761"
21077,"47,907"
21079,"50,518"
21081,"51,849"
21083,"41,963"
21085,"38,133"
21087,"36,809"
21089,"46,699"
21091,"49,475"
21093,"52,673"
21095,"25,815"
21097,"49,694"
21099,"38,182"
21101,"47,589"
21103,"50,721"
21105,"40,902"
21107,"44,419"
21109,"31,355"
21111,"54,977"
21113,"57,015"
21115,"37,724"
21117,"59,594"
21119,"31,788"
21121,"28,586"
21123,"45,288"
21125,"39,830"
21127,"28,672"
21129,"28,084"
21131,"29,317"
21133,"32,635"
21135,"35,056"
21137,"39,347"
21139,"44,435"
21141,"47,174"
21143,"44,318"
21145,"48,994"
21147,"28,024"
21149,"44,574"
21151,"50,783"
21153,"28,077"
21155,"46,125"
21157,"50,786"
21159,"30,177"
21161,"45,608"
21163,"58,873"
21165,"36,595"
21167,"47,611"
21169,"33,139"
21171,"32,518"
21173,"43,890"
21175,"34,121"
21177,"40,338"
21179,"58,960"
21181,"40,264"
21183,"43,142"
21185,"97,960"
21187,"48,362"
21189,"25,344"
21191,"52,861"
21193,"34,105"
21195,"34,076"
21197,"35,817"
21199,"36,295"
21201,"43,227"
21203,"36,756"
21205,"41,050"
21207,"33,575"
21209,"67,234"
21211,"65,054"
21213,"47,542"
21215,"80,808"
21217,"41,087"
21219,"43,512"
21221,"47,963"
21223,"53,024"
21225,"46,708"
21227,"49,966"
21229,"49,750"
21231,"34,382"
21233,"42,968"
21235,"33,809"
21237,"29,326"
21239,"64,177"
22001,"39,252"
22003,"42,846"
22005,"72,154"
22007,"45,774"
22009,"36,177"
22011,"51,422"
22013,"30,483"
22015,"52,158"
22017,"37,636"
22019,"52,407"
22021,"39,863"
22023,"56,025"
22025,"32,380"
22027,"34,109"
22029,"33,873"
22031,"40,839"
22033,"54,494"
22035,"26,431"
22037,"45,839"
22039,"33,942"
22041,"32,485"
22043,"44,298"
22045,"40,964"
22047,"44,410"
22049,"38,893"
22051,"51,461"
22053,"43,317"
22055,"52,827"
22057,"53,081"
22059,"44,125"
22061,"39,941"
22063,"61,297"
22065,"29,507"
22067,"32,988"
22069,"33,439"
22071,"37,407"
22073,"41,301"
22075,"56,199"
22077,"45,675"
22079,"42,238"
22081,"35,662"
22083,"36,432"
22085,"40,021"
22087,"44,553"
22089,"65,335"
22091,"36,723"
22093,"53,045"
22095,"55,941"
22097,"35,693"
22099,"44,574"
22101,"38,413"
22103,"67,926"
22105,"44,256"
22107,"27,959"
22109,"47,971"
22111,"40,395"
22113,"50,562"
22115,"45,711"
22117,"37,792"
22119,"32,522"
22121,"64,921"
22123,"37,759"
22125,"56,584"
22127,"39,474"
23001,"48,446"
