fips,state,fi_rate,total_fi_people,child_fi_rate,num_fi_children,cost_per_meal,est_annual_food_budget_shortfall,region
5051,AR,16.6,16280,24.8, 4970 ,2.98,8277000.0,S
5053,AR,13.4,2430,21.1, 880 ,3.1,1285000.0,S
5055,AR,15.1,6670,23.2, 2490 ,2.66,3025000.0,S
5057,AR,19.1,4230,25.2, 1450 ,2.68,1938000.0,S
5059,AR,15.6,5210,21.9, 1540 ,3.03,2697000.0,S
5061,AR,17.1,2310,25.0, 870 ,2.91,1147000.0,S
5063,AR,15.5,5740,24.4, 2160 ,2.84,2779000.0,S
5065,AR,15.8,2130,26.6, 650 ,2.94,1070000.0,S
5067,AR,20.4,3550,29.7, 1050 ,2.79,1692000.0,S
5069,AR,24.7,17620,27.1, 4410 ,2.89,8697000.0,S
5071,AR,15.4,4020,24.7, 1580 ,2.87,1965000.0,S
5073,AR,21.9,1540,25.8, 360 ,3.01,790000.0,S
5075,AR,16.1,2710,23.0, 860 ,2.77,1283000.0,S
5077,AR,26.2,2520,26.1, 480 ,2.81,1210000.0,S
5079,AR,18.5,2570,22.5, 560 ,2.88,1264000.0,S
5081,AR,18.4,2300,24.4, 680 ,2.89,1133000.0,S
5083,AR,16.0,3490,25.1, 1230 ,2.9,1729000.0,S
5085,AR,13.9,9940,20.9, 3930 ,3.14,5320000.0,S
5087,AR,13.9,2210,22.0, 830 ,2.95,1114000.0,S
5089,AR,15.3,2510,25.6, 750 ,2.93,1256000.0,S
5091,AR,19.7,8610,25.2, 2640 ,3.03,4455000.0,S
5093,AR,23.3,10160,28.2, 3270 ,2.79,4840000.0,S
5095,AR,23.8,1770,29.1, 450 ,2.76,835000.0,S
5097,AR,14.9,1350,25.4, 440 ,2.94,677000.0,S
5099,AR,20.2,1720,25.0, 480 ,2.86,839000.0,S
5101,AR,14.2,1120,23.0, 360 ,2.88,551000.0,S
5103,AR,22.9,5570,27.8, 1540 ,2.82,2680000.0,S
5105,AR,14.7,1520,25.1, 580 ,3.11,808000.0,S
5107,AR,29.5,5750,31.6, 1630 ,2.92,2869000.0,S
5109,AR,14.7,1600,22.9, 560 ,2.94,804000.0,S
5111,AR,17.6,4240,26.8, 1540 ,2.62,1894000.0,S
5113,AR,17.0,3440,27.0, 1280 ,2.93,1721000.0,S
5115,AR,16.0,10130,23.6, 3390 ,2.86,4945000.0,S
5117,AR,16.9,1400,23.4, 400 ,2.94,702000.0,S
5119,AR,19.3,75980,22.2, 20560 ,3.14,40657000.0,S
5121,AR,16.5,2890,25.3, 1020 ,2.75,1355000.0,S
5123,AR,25.7,6860,28.3, 1690 ,2.7,3166000.0,S
5125,AR,11.9,13850,18.4, 5090 ,3.23,7625000.0,S
5127,AR,14.9,1580,24.9, 630 ,2.89,778000.0,S
5129,AR,15.1,1190,22.5, 360 ,2.86,580000.0,S
5131,AR,16.5,20970,24.9, 7720 ,2.81,10071000.0,S
5133,AR,12.1,2080,23.3, 1160 ,2.89,1026000.0,S
5135,AR,17.4,2970,27.7, 1010 ,2.86,1448000.0,S
5137,AR,17.2,2140,27.9, 700 ,2.95,1077000.0,S
5139,AR,19.8,7940,25.0, 2400 ,3.0,4068000.0,S
5141,AR,16.2,2720,26.5, 890 ,2.98,1382000.0,S
5143,AR,14.4,32140,20.4, 11380 ,2.95,16206000.0,S
5145,AR,15.9,12510,22.6, 4210 ,2.81,5995000.0,S
5147,AR,21.9,1480,26.7, 390 ,2.86,722000.0,S
5149,AR,13.2,2840,23.0, 1230 ,2.83,1373000.0,S
6001,CA,12.2,198950,15.2, 52450 ,3.8,128941000.0,W
6003,CA,14.3,170,19.1, 50 ,3.55,103000.0,W
6005,CA,11.6,4320,19.4, 1110 ,4.0,2950000.0,W
6007,CA,16.0,35920,20.7, 9430 ,3.26,20009000.0,W
6009,CA,12.2,5480,19.4, 1540 ,4.49,4201000.0,W
6011,CA,11.8,2530,24.7, 1470 ,3.34,1440000.0,W
6013,CA,10.1,113940,15.0, 39250 ,3.61,70237000.0,W
6015,CA,16.4,4490,23.9, 1390 ,3.36,2575000.0,W
6017,CA,10.7,19880,16.3, 6220 ,4.28,14525000.0,W
6019,CA,14.0,136340,24.8, 69230 ,3.0,69755000.0,W
6021,CA,13.0,3620,21.6, 1620 ,3.23,1993000.0,W
6023,CA,16.2,21900,20.3, 5350 ,3.19,11936000.0,W
6025,CA,14.2,25480,30.3, 15660 ,2.63,11417000.0,W
6027,CA,11.2,2040,16.4, 610 ,3.16,1101000.0,W
6029,CA,13.4,117590,23.8, 61390 ,2.97,59628000.0,W
6031,CA,13.2,19880,22.9, 9430 ,2.97,10092000.0,W
6033,CA,15.6,9980,23.2, 3050 ,3.67,6246000.0,W
6035,CA,13.9,4380,20.7, 1040 ,3.63,2717000.0,W
6037,CA,11.2,1135710,18.2, 413910 ,3.39,656932000.0,W
6039,CA,11.4,17570,22.6, 9660 ,3.74,11203000.0,W
6041,CA,9.5,24840,13.6, 7200 ,4.38,18576000.0,W
6043,CA,14.2,2510,20.2, 580 ,3.14,1343000.0,W
6045,CA,13.6,11870,19.8, 3780 ,4.04,8191000.0,W
6047,CA,13.1,34970,24.4, 19470 ,3.15,18798000.0,W
6049,CA,15.5,1400,22.5, 400 ,3.21,768000.0,W
6051,CA,10.7,1500,15.2, 420 ,3.14,804000.0,W
6053,CA,9.5,41110,19.1, 21850 ,3.34,23416000.0,W
6055,CA,8.0,11320,13.8, 4190 ,4.19,8100000.0,W
6057,CA,12.2,12030,17.6, 3050 ,4.62,9481000.0,W
6059,CA,9.2,290660,15.7, 112480 ,3.44,170726000.0,W
6061,CA,10.3,38710,14.9, 12680 ,3.67,24227000.0,W
6063,CA,15.5,2910,21.3, 650 ,3.36,1667000.0,W
6065,CA,9.4,221660,17.7, 108560 ,3.07,116261000.0,W
6067,CA,14.4,215570,19.3, 69800 ,3.23,118955000.0,W
6069,CA,5.6,3280,15.7, 2450 ,4.22,2360000.0,W
6071,CA,10.1,214580,18.7, 107180 ,3.01,110186000.0,W
6073,CA,11.0,360530,16.5, 120360 ,3.38,207910000.0,W
6075,CA,13.3,115190,14.6, 16880 ,4.59,90269000.0,W
6077,CA,12.8,92520,20.3, 40750 ,3.15,49739000.0,W
6079,CA,11.6,32530,15.7, 7990 ,3.56,19787000.0,W
6081,CA,8.3,63170,12.9, 20950 ,3.79,40856000.0,W
6083,CA,9.8,43590,16.7, 16580 ,3.24,24073000.0,W
6085,CA,8.9,169390,13.6, 58970 ,3.69,106570000.0,W
6087,CA,11.1,30300,17.4, 9440 ,3.89,20090000.0,W
6089,CA,15.9,28440,22.5, 8730 ,3.1,15022000.0,W
6091,CA,13.2,380,18.5, 80 ,3.47,225000.0,W
6093,CA,16.9,7340,23.7, 2090 ,3.43,4300000.0,W
6095,CA,12.6,54670,17.3, 17090 ,3.21,29959000.0,W
6097,CA,10.0,50100,15.2, 15460 ,3.82,32681000.0,W
6099,CA,11.9,63550,20.6, 30200 ,3.21,34841000.0,W
6101,CA,14.4,13800,22.6, 5690 ,2.86,6740000.0,W
6103,CA,14.4,9120,23.2, 3520 ,3.18,4945000.0,W
6105,CA,16.5,2150,23.1, 500 ,3.27,1198000.0,W
6107,CA,13.2,60660,25.7, 36910 ,3.01,31194000.0,W
6109,CA,13.6,7320,18.5, 1670 ,3.94,4925000.0,W
6111,CA,7.6,64680,15.4, 31130 ,3.38,37345000.0,W
6113,CA,13.3,28320,17.2, 7840 ,3.4,16434000.0,W
6115,CA,14.9,11100,22.3, 4610 ,3.06,5791000.0,W
8001,CO,8.0,39040,13.5, 18120 ,3.16,21078000.0,W
8003,CO,12.3,2010,18.6, 740 ,3.23,1108000.0,W
8005,CO,11.2,70150,13.3, 20260 ,3.38,40436000.0,W
8007,CO,10.3,1290,16.2, 360 ,3.24,712000.0,W
8009,CO,13.1,470,18.0, 140 ,2.73,219000.0,W
8011,CO,13.1,760,19.0, 170 ,2.99,388000.0,W
8013,CO,11.2,35440,12.6, 7940 ,3.85,23262000.0,W
8014,CO,9.0,5790,11.1, 1720 ,3.82,3774000.0,W
8015,CO,10.2,1920,12.8, 360 ,3.34,1096000.0,W
8017,CO,9.8,210,12.6, 80 ,2.91,104000.0,W
8019,CO,9.8,910,12.8, 200 ,3.5,543000.0,W
8021,CO,7.9,650,17.5, 390 ,3.27,363000.0,W
8023,CO,8.8,320,22.3, 150 ,3.27,179000.0,W
8025,CO,12.3,680,18.6, 130 ,3.23,374000.0,W
8027,CO,12.9,580,19.3, 130 ,2.99,296000.0,W
8029,CO,12.8,3850,17.6, 1090 ,3.2,2100000.0,W
8031,CO,11.9,80800,15.0, 20740 ,3.49,48147000.0,W
8033,CO,12.4,220,17.0, 60 ,3.53,133000.0,W
8035,CO,7.3,23500,10.7, 9560 ,3.5,14030000.0,W
8037,CO,6.6,3550,11.3, 1360 ,3.46,2099000.0,W
8039,CO,7.4,1820,11.5, 630 ,3.42,1061000.0,W
8041,CO,11.8,79560,14.6, 24450 ,3.22,43719000.0,W
8043,CO,13.1,6100,19.2, 1430 ,3.13,3262000.0,W
8045,CO,8.4,4850,12.8, 1910 ,3.52,2910000.0,W
8047,CO,8.4,480,11.5, 120 ,3.47,284000.0,W
8049,CO,11.5,1700,16.2, 410 ,3.52,1022000.0,W
8051,CO,12.8,2080,12.5, 360 ,3.48,1234000.0,W
8053,CO,11.8,100,15.5, 20 ,3.72,64000.0,W
8055,CO,10.4,680,17.2, 180 ,3.07,356000.0,W
8057,CO,9.2,130,15.0, 40 ,3.76,83000.0,W
8059,CO,9.1,51350,12.5, 14470 ,3.5,30711000.0,W
8061,CO,11.7,160,14.7, 60 ,2.96,81000.0,W
8063,CO,10.0,790,13.9, 250 ,2.87,388000.0,W
8065,CO,9.1,680,11.3, 150 ,3.84,445000.0,W
8067,CO,10.3,5630,12.8, 1340 ,3.87,3717000.0,W
8069,CO,11.5,38040,13.0, 8730 ,3.42,22188000.0,W
8071,CO,9.4,1330,15.6, 400 ,3.05,691000.0,W
8073,CO,11.1,610,14.7, 160 ,3.41,355000.0,W
8075,CO,12.9,2830,17.1, 800 ,3.06,1477000.0,W
8077,CO,12.9,19160,17.6, 5790 ,3.18,10388000.0,W
8079,CO,9.7,80,13.6, 10 ,3.63,50000.0,W
8081,CO,10.7,1400,13.5, 460 ,3.41,816000.0,W
8083,CO,13.2,3410,19.3, 1120 ,3.12,1817000.0,W
8085,CO,12.0,4900,18.1, 1650 ,3.44,2879000.0,W
8087,CO,7.7,2170,12.1, 900 ,2.94,1087000.0,W
8089,CO,11.3,2070,18.5, 800 ,2.96,1047000.0,W
8091,CO,11.7,540,14.8, 100 ,3.49,322000.0,W
8093,CO,9.4,1580,13.0, 370 ,3.38,913000.0,W
8095,CO,8.8,380,10.0, 110 ,3.13,203000.0,W
8097,CO,10.7,1900,11.9, 340 ,3.61,1170000.0,W
8099,CO,9.8,1180,15.3, 470 ,2.95,593000.0,W
8101,CO,10.6,17320,17.4, 6550 ,2.96,8754000.0,W
8103,CO,12.1,790,16.2, 260 ,3.39,457000.0,W
8105,CO,9.5,1090,16.6, 450 ,3.35,623000.0,W
8107,CO,11.3,2740,13.6, 630 ,4.18,1956000.0,W
8109,CO,11.2,710,18.1, 250 ,3.34,404000.0,W
8111,CO,8.9,50,17.1, 20 ,3.67,31000.0,W
8113,CO,11.9,920,14.2, 210 ,3.34,524000.0,W
8115,CO,12.5,290,17.6, 90 ,3.09,153000.0,W
8117,CO,9.9,2950,13.5, 650 ,4.38,2206000.0,W
8119,CO,10.0,2370,13.3, 580 ,3.43,1386000.0,W
8121,CO,10.6,510,13.5, 150 ,3.28,285000.0,W
8123,CO,8.1,23230,12.8, 9800 ,3.33,13196000.0,W
8125,CO,10.6,1070,15.1, 410 ,2.94,537000.0,W
9001,CT,9.4,89410,13.4, 29400 ,3.86,58928000.0,N
9003,CT,11.5,103340,15.1, 29110 ,3.33,58787000.0,N
9005,CT,9.3,17070,13.6, 4770 ,3.45,10050000.0,N
9007,CT,9.7,15970,13.4, 4150 ,3.75,10222000.0,N
9009,CT,12.1,104190,15.8, 28340 ,3.27,58100000.0,N
9011,CT,11.2,30330,16.1, 8720 ,3.43,17734000.0,N
9013,CT,9.6,14480,12.7, 3500 ,3.51,8666000.0,N
9015,CT,11.0,12820,16.4, 3890 ,3.03,6635000.0,N
10001,DE,12.9,22400,17.3, 7020 ,2.94,11244000.0,N
10003,DE,11.7,64730,15.3, 18700 ,3.36,37081000.0,N
10005,DE,9.8,21100,17.2, 7150 ,3.45,12438000.0,N
11001,DC,11.4,76340,21.1, 24880 ,4.16,54187000.0,N
12001,FL,18.7,48610,20.1, 9410 ,3.34,27707000.0,S
12003,FL,15.2,4170,21.4, 1440 ,2.95,2098000.0,S
12005,FL,15.6,28020,21.4, 8310 ,3.35,16037000.0,S
12007,FL,16.7,4470,21.7, 1190 ,2.81,2142000.0,S
12009,FL,13.6,77380,20.2, 21370 ,3.28,43293000.0,S
12011,FL,13.6,257910,18.2, 73950 ,3.47,152587000.0,S
12013,FL,14.2,2050,18.7, 590 ,3.23,1128000.0,S
12015,FL,13.0,22460,21.1, 4700 ,3.31,12693000.0,S
12017,FL,14.7,20840,25.2, 5360 ,3.47,12355000.0,S
12019,FL,12.3,25050,18.1, 8890 ,3.09,13192000.0,S
12021,FL,10.1,36120,19.4, 12400 ,3.53,21789000.0,S
12023,FL,16.0,10980,21.8, 3270 ,2.76,5173000.0,S
12027,FL,15.6,5570,25.0, 1790 ,3.15,2992000.0,S
12029,FL,16.7,2720,25.0, 760 ,2.88,1338000.0,S
