fips,pop_estimate,percent_white,percent_black,percent_native_american,percent_asian,percent_nhpi,percent_multi,percent_nonwhite_hispanic
13145,33198,79.00,16.00,0.10,1.00,0.00,0.70,0.01
13147,25535,76.90,19.00,0.00,0.90,0.00,0.70,0.02
13149,11607,85.30,10.00,0.00,0.50,0.10,1.20,0.00
13151,217506,50.80,41.40,0.10,3.30,0.00,0.40,0.02
13153,150341,61.70,29.90,0.40,3.00,0.00,0.70,0.02
13155,9278,68.60,28.10,0.00,0.50,0.00,1.30,0.00
13157,63851,87.70,6.90,0.10,1.70,0.00,0.50,0.02
13159,13732,75.40,20.80,0.20,0.30,0.00,0.70,0.02
13161,14999,76.70,16.80,0.00,0.00,0.00,0.90,0.06
13163,15954,43.30,54.30,0.10,0.10,0.00,0.90,0.02
13165,8929,61.20,35.80,1.50,0.90,0.00,1.00,0.02
13167,9800,65.00,33.80,0.00,0.20,0.00,0.80,0.00
13169,28540,73.00,24.90,0.20,0.70,0.00,0.50,0.00
13171,18282,66.30,29.00,0.10,0.80,0.00,2.30,0.01
13173,10388,73.90,24.10,0.00,0.30,0.00,1.00,0.00
13175,47451,59.80,36.90,0.10,1.10,0.00,0.30,0.01
13177,29216,74.50,19.50,0.10,2.50,0.10,0.90,0.01
13179,62120,46.80,41.10,0.50,2.20,0.50,0.80,0.06
13181,7768,66.40,32.20,0.10,0.20,0.00,0.40,0.01
13183,17857,64.60,24.10,0.20,1.00,0.20,2.40,0.05
13185,113941,57.90,36.30,0.20,1.90,0.00,0.40,0.02
13187,31567,93.90,2.30,0.80,0.40,0.00,0.80,0.02
13189,21488,54.80,40.50,0.00,0.50,0.80,0.70,0.02
13191,14061,62.30,35.20,0.10,0.00,0.10,0.90,0.01
13193,13675,34.90,59.30,0.40,1.60,0.00,0.60,0.02
13195,28600,84.80,8.60,0.30,1.40,0.00,0.80,0.03
13197,8558,59.60,35.70,0.00,0.70,0.50,1.10,0.01
13199,21152,57.70,38.40,0.20,0.60,0.00,1.00,0.01
13201,5884,68.60,30.40,0.80,0.00,0.00,0.20,0.00
13205,22574,49.30,47.60,0.10,0.30,0.10,0.80,0.01
13207,26795,73.60,23.60,0.10,0.80,0.00,0.50,0.01
13209,8962,67.70,26.20,0.40,0.30,0.00,1.00,0.03
13211,18013,74.10,23.60,0.10,0.10,0.00,0.70,0.01
13213,39444,96.60,1.00,0.10,0.40,0.00,0.20,0.01
13215,198647,44.50,45.60,0.40,2.40,0.20,0.40,0.04
13217,105042,52.00,43.30,0.30,1.00,0.10,0.70,0.02
13219,35972,88.70,5.40,0.10,4.10,0.00,0.80,0.01
13221,14654,78.70,18.00,0.10,0.30,0.00,0.60,0.01
13223,152399,76.30,18.60,0.20,1.00,0.00,0.50,0.03
13225,27027,48.50,44.50,0.10,1.10,0.10,0.40,0.05
13227,30343,95.70,0.50,0.10,0.50,0.00,0.30,0.01
13229,19141,86.80,8.90,0.40,0.10,0.00,0.80,0.02
13231,17919,88.00,10.30,0.00,0.20,0.00,0.60,0.00
13233,41444,75.40,12.70,0.40,0.70,0.10,0.70,0.10
13235,11396,63.40,34.70,0.20,0.00,0.00,1.30,0.00
13237,21430,68.70,26.10,0.00,0.50,0.00,0.80,0.03
