fips,median_household_income
21083,41963
21085,38133
21087,36809
21089,46699
21091,49475
21093,52673
21095,25815
21097,49694
21099,38182
21101,47589
21103,50721
21105,40902
21107,44419
21109,31355
21111,54977
21113,57015
21115,37724
21117,59594
21119,31788
21121,28586
21123,45288
21125,39830
21127,28672
21129,28084
21131,29317
21133,32635
21135,35056
21137,39347
21139,44435
21141,47174
21143,44318
21145,48994
21147,28024
21149,44574
21151,50783
21153,28077
21155,46125
21157,50786
21159,30177
21161,45608
21163,58873
21165,36595
21167,47611
21169,33139
21171,32518
21173,43890
21175,34121
21177,40338
21179,58960
21181,40264
21183,43142
21185,97960
21187,48362
21189,25344
21191,52861
21193,34105
21195,34076
21197,35817
21199,36295
21201,43227
21203,36756
21205,41050
21207,33575
21209,67234
21211,65054
21213,47542
21215,80808
21217,41087
21219,43512
21221,47963
21223,53024
21225,46708
21227,49966
21229,49750
21231,34382
21233,42968
21235,33809
21237,29326
21239,64177
22001,39252
22003,42846
22005,72154
22007,45774
22009,36177
22011,51422
22013,30483
22015,52158
22017,37636
22019,52407
22021,39863
22023,56025
22025,32380
22027,34109
22029,33873
22031,40839
22033,54494
22035,26431
22037,45839
22039,33942
22041,32485
22043,44298
22045,40964
22047,44410
22049,38893
22051,51461
22053,43317
22055,52827
22057,53081
22059,44125
22061,39941
22063,61297
22065,29507
22067,32988
22069,33439
22071,37407
22073,41301
22075,56199
22077,45675
22079,42238
22081,35662
22083,36432
22085,40021
22087,44553
22089,65335
22091,36723
22093,53045
22095,55941
22097,35693
22099,44574
22101,38413
22103,67926
22105,44256
22107,27959
22109,47971
22111,40395
22113,50562
22115,45711
22117,37792
22119,32522
22121,64921
22123,37759
22125,56584
22127,39474
23001,48446
23003,42600
23005,70661
23007,45280
23009,51009
23011,52265
23013,51723
23015,52019
23017,50367
23019,49836
23021,40841
23023,61047
23025,42426
23027,54547
23029,37943
23031,66025
24001,42564
24003,96133
24005,73309
24009,100000
24011,56338
24013,92890
24015,72259
24017,94478
24019,47011
24021,91727
24023,46899
24025,80922
24027,111576
24029,57760
24031,102944
24033,80858
24035,90696
24037,82433
24039,40320
24041,70620
24043,59828
24045,52341
24047,61405
24510,46762
25001,70576
25003,56063
25005,67085
25007,67390
25009,75309
25011,57930
25013,51850
25015,67774
25017,97851
25019,92347
25021,100710
25023,86026
25025,65999
25027,70222
26001,41615
26003,46991
26005,62421
26007,40603
26009,50583
26011,41275
26013,42180
26015,59460
26017,45771
26019,54065
26021,48924
26023,49387
26025,46113
26027,52063
26029,51457
26031,43724
26033,44586
26035,36661
26037,66003
26039,47068
26041,50802
26043,48291
26045,64318
26047,52796
26049,46457
26051,41667
26053,38343
26055,59674
26057,42653
26059,47610
26061,45127
26063,46627
26065,51186
26067,57318
26069,41755
26071,42082
26073,45683
26075,50895
26077,56199
26079,43357
26081,61146
26083,43812
26085,35005
26087,57621
26089,66372
26091,56416
26093,82076
26095,44479
26097,43427
26099,60475
26101,45504
26103,49472
26105,46579
26107,45785
26109,48627
26111,61290
26113,44553
26115,61121
26117,46664
26119,40170
26121,48885
26123,47521
26125,77558
26127,46423
26129,38220
26131,37208
26133,41268
26135,39253
26137,51814
26139,68816
26141,43244
26143,40306
26145,45433
26147,56671
26149,50854
26151,47287
26153,41973
26155,53055
26157,47357
26159,52114
26161,70509
26163,45182
26165,46072
27001,44344
27003,79097
27005,54502
27007,47336
27009,58572
27011,48553
27013,56137
27015,57742
27017,60740
27019,102511
27021,51884
27023,60039
27025,82118
27027,60213
27029,48115
27031,51146
27033,48976
27035,54065
27037,81004
27039,70431
27041,62809
27043,45963
27045,56165
27047,52117
27049,65953
27051,50943
27053,74568
27055,55558
27057,56129
27059,70594
27061,49934
27063,55981
27065,53181
27067,59816
27069,52327
27071,48942
27073,53046
27075,55622
27077,49828
27079,69581
27081,51278
27083,55255
27085,61822
27087,43591
27089,56330
27091,53805
27093,56068
27095,53273
27097,55709
27099,55772
27101,60682
27103,66944
27105,49935
27107,50481
27109,77110
27111,53033
27113,56015
27115,52226
27117,50784
27119,54717
27121,59903
27123,61924
27125,51785
27127,53985
27129,54758
27131,65011
27133,60041
27135,58742
27137,53013
27139,99685
27141,87094
27143,59378
27145,63017
27147,60143
27149,59406
27151,53561
27153,49962
27155,50692
27157,63374
27159,45716
27161,59246
27163,92582
27165,50678
27167,58118
27169,55577
27171,80805
27173,53596
28001,31044
28003,39528
28005,35422
28007,35158
28009,35797
28011,34216
28013,35886
28015,40798
28017,37231
28019,37561
28021,28518
28023,38840
28025,36044
28027,28921
28029,39107
28031,39644
28033,66125
28035,39394
28037,38370
28039,51185
28041,44337
28043,38827
28045,45535
28047,46709
28049,44076
28051,24783
28053,26489
28055,28075
28057,45718
28059,49699
28061,35916
28063,27925
28065,28043
28067,39459
28069,32026
28071,47899
28073,57125
28075,43538
28077,38446
28079,36031
28081,51559
28083,25569
28085,40898
28087,42277
28089,69820
28091,28967
28093,38498
28095,40371
28097,36182
28099,38728
28101,39898
28103,30130
28105,39387
28107,35927
28109,47757
28111,38997
28113,32525
28115,45396
28117,36654
28119,26740
28121,65504
28123,37201
28125,28842
28127,38385
28129,42517
28131,44159
28133,29704
28135,30998
28137,47296
28139,39695
28141,35031
28143,31492
28145,46979
28147,32078
28149,44227
28151,30865
28153,36339
28155,39479
28157,27962
28159,36305
28161,36834
28163,33051
29001,38784
29003,60759
29005,49469
29007,44212
29009,40765
29011,41796
29013,45392
29015,39588
29017,43611
29019,52179
29021,46516
29023,39642
29025,44252
29027,53317
29029,51489
29031,51955
29033,45404
29035,33793
29037,65839
29039,37958
29041,44587
29043,58931
29045,43130
29047,67666
29049,57807
29051,55315
29053,48851
29055,39306
29057,39127
29059,38685
29061,45342
29063,48060
29065,35445
29067,34265
29069,33721
29071,55937
29073,48711
29075,43182
29077,45608
29079,40305
29081,40139
29083,43615
29085,35170
29087,46560
29089,45858
29091,35483
29093,35682
29095,52585
29097,46611
29099,62334
29101,54417
29103,36866
29105,45267
29107,51745
29109,42856
29111,46517
29113,67986
29115,42331
29117,45448
29119,38468
29121,40037
29123,38206
29125,44366
29127,45064
29129,42048
29131,42042
29133,34185
29135,49452
29137,42299
29139,47044
29141,41908
29143,38542
29145,49161
29147,44273
29149,31714
29151,57694
29153,33284
29155,32224
29157,52132
29159,44867
29161,41330
29163,44040
29165,75651
29167,44214
29169,53168
29171,38024
29173,53965
29175,47327
29177,61592
29179,34424
29181,32331
29183,81827
29185,35230
29186,58797
29187,41708
29189,64926
29195,43235
29197,32860
29199,40900
29201,42581
29203,29152
29205,42444
29207,41824
29209,44384
29211,40517
29213,43110
29215,33457
29217,41284
29219,59723
29221,37318
29223,33390
29225,46039
29227,41017
29229,33191
29510,40876
30001,55842
30003,41957
30005,37653
30007,54523
30009,52726
30011,44774
30013,47882
30015,42598
30017,47675
30019,47032
30021,54210
30023,44295
30025,60495
30027,49892
30029,57389
30031,61446
30033,43753
30035,38345
30037,35850
30039,44834
30041,48470
30043,66813
30045,43748
30047,42265
30049,59819
30051,41798
30053,38257
30055,44001
30057,50248
30059,43001
30061,42452
30063,53141
30065,42255
30067,49550
30069,43669
30071,44168
30073,42175
30075,49446
30077,45418
30079,43238
30081,49997
30083,63343
30085,42379
30087,54998
30089,40582
30091,49862
30093,44762
30095,63140
30097,52303
30099,47750
30101,46896
30103,50432
30105,47676
30107,36771
30109,48092
30111,58031
31001,53321
31003,46560
31005,44109
31007,53040
31009,44016
31011,55493
31013,58728
31015,43189
31017,46768
31019,58800
31021,52879
31023,52033
31025,71166
31027,61159
31029,57965
31031,46894
31033,59971
31035,51775
31037,61176
31039,55465
31041,50627
31043,52055
31045,43627
31047,46395
31049,47584
31051,54941
31053,53152
31055,61706
31057,45680
31059,57539
31061,47002
31063,49455
31065,50675
31067,53305
31069,39446
31071,43478
31073,54787
31075,52665
31077,45037
31079,54546
31081,68296
31083,47829
31085,45136
31087,42567
31089,50370
31091,47327
31093,54671
31095,48930
31097,48518
31099,62499
31101,47598
31103,45688
31105,46571
31107,46163
31109,59681
31111,55934
31113,48579
31115,46875
31117,49875
31119,51184
31121,59984
31123,44062
31125,48972
31127,52229
31129,43712
31131,60469
31133,42962
31135,55033
31137,60695
31139,58375
31141,57693
31143,61422
31145,49447
31147,48087
31149,48373
31151,53662
31153,80842
31155,63849
31157,48662
31159,68762
31161,41247
31163,55432
31165,50910
31167,58295
31169,51757
31171,46927
31173,45328
31175,44907
31177,72385
31179,54548
31181,45768
31183,55906
31185,55950
32001,53302
32003,57217
32005,66092
32007,76439
32009,47053
32011,67976
32013,68753
32015,75943
32017,54844
32019,54588
32021,45589
32023,48513
32027,57885
