fips,popestimate17
26037,78506
26039,13906
26041,35890
26043,25424
26045,109456
26047,33081
26049,407488
26051,25241
26053,15340
26055,91791
26057,40979
26059,45820
26061,36198
26063,31306
26065,292018
26067,64284
26069,25128
26071,11105
26073,71077
26075,158563
26077,262998
26079,17571
26081,649278
26083,2085
26085,11981
26087,88122
26089,21645
26091,98427
26093,189869
26095,6370
26097,10768
26099,871364
26101,24393
26103,66493
26105,28996
26107,43258
26109,22981
26111,83314
26113,15020
26115,149449
26117,63527
26119,9233
26121,173645
26123,48320
26125,1256016
26127,26422
26129,20882
26131,5889
26133,23267
26135,8238
26137,24528
26139,286581
26141,12742
26143,23731
26145,191965
26147,159005
26149,60710
26151,41242
26153,8013
26155,68400
26157,52815
26159,75303
26161,368807
26163,1757217
26165,33234
27001,15792
27003,350203
27005,34082
27007,46477
27009,40135
27011,5004
27013,66916
27015,25172
27017,35509
27019,102118
27021,29324
27023,11944
27025,55257
27027,63766
27029,8845
27031,5411
27033,11249
27035,64278
27037,421518
27039,20696
27041,37520
27043,13768
27045,20980
27047,30582
27049,46307
27051,5916
27053,1247847
27055,18677
27057,20965
27059,39543
27061,45088
27063,9965
27065,16060
27067,42778
27069,4261
27071,12506
27073,6683
27075,10493
27077,3727
27079,28210
27081,5665
27083,25929
27085,35876
27087,5567
27089,9361
27091,19866
27093,23047
27095,25861
27097,33084
27099,39773
27101,8332
27103,34052
27105,21671
27107,6589
27109,154727
27111,58219
27113,14178
27115,29159
27117,9157
27119,31637
27121,10988
27123,544886
27125,4009
27127,15244
27129,14693
27131,66196
27133,9459
27135,15305
27137,199778
27139,145535
27141,94476
27143,14899
27145,158301
27147,36787
27149,9706
27151,9387
27153,24526
27155,3304
27157,21590
27159,13647
27161,18713
27163,255464
27165,10934
27167,6322
27169,50718
27171,134205
27173,9836
28001,31462
28003,37165
28005,12448
28007,18467
28009,8255
28011,31718
28013,14508
28015,10094
28017,17144
28019,8240
28021,9026
28023,15805
28025,19621
28027,23214
28029,28528
28031,19014
28033,179005
28035,75155
28037,7754
28039,23951
28041,13529
28043,21037
28045,46949
28047,204966
28049,239929
28051,17849
28053,8333
28055,1341
28057,23499
28059,142246
28061,16574
28063,7227
28065,11284
28067,68364
28069,10093
28071,54178
28073,61536
28075,76309
28077,12629
28079,22819
28081,85071
28083,29292
28085,34340
28087,59147
28089,104584
28091,25108
28093,35590
28095,35851
28097,10143
28099,29435
28101,21396
28103,10711
28105,49678
28107,34158
28109,55255
28111,12014
28113,39510
28115,31709
28117,25215
28119,7208
28121,152904
28123,28436
28125,4415
28127,26905
28129,16073
28131,18593
28133,26142
28135,14094
28137,28581
28139,21953
28141,19518
28143,9984
28145,28486
28147,14505
28149,46682
28151,46197
28153,20430
28155,9732
28157,8855
28159,18237
28161,12449
28163,28659
29001,25429
29003,17474
29005,5243
29007,25590
29009,35631
29011,11793
29013,16293
29015,19072
29017,12280
29019,178012
29021,88660
29023,42618
29025,9059
29027,44982
29029,45473
29031,78261
29033,8779
29035,6179
29037,103477
29039,14070
29041,7457
29043,85392
29045,6720
29047,242527
29049,20551
29051,76632
29053,17647
29055,24107
29057,7586
29059,16699
29061,8358
29063,12532
29065,15497
29067,13276
29069,30121
29071,103315
29073,14683
29075,6634
29077,289512
29079,9991
29081,8506
29083,21695
29085,9395
29087,4407
29089,10066
29091,40074
29093,10181
29095,698072
29097,120048
29099,223769
29101,53735
29103,3970
29105,35418
29107,32579
29109,38256
29111,9952
29113,56045
29115,12168
29117,15157
29119,22722
29121,15262
29123,12230
29125,8790
29127,28585
29129,3656
29131,25202
29133,13594
29135,16047
29137,8596
29139,11378
29141,20162
29143,17544
29145,58191
29147,22401
29149,10553
29151,13658
29153,9227
29155,16783
29157,19262
29159,42445
29161,44551
29163,18557
29165,101141
29167,31742
29169,51862
29171,4778
29173,10226
29175,24899
29177,22877
29179,6260
29181,13565
29183,395130
29185,9365
29186,17792
29187,66674
29189,996227
29195,22910
29197,4518
29199,4948
29201,38576
29203,8235
29205,5995
29207,29364
29209,31642
29211,6212
29213,55100
29215,25650
29217,20507
29219,34448
29221,24994
29223,13303
29225,38745
29227,2041
29229,18210
29510,308233
30001,9450
30003,13483
30005,6745
30007,5917
30009,10680
30011,1223
30013,81633
30015,5732
30017,11726
30019,1722
30021,8952
30023,9100
30025,3004
30027,11281
30029,100091
30031,108576
30033,1281
30035,13732
30037,817
30039,3356
30041,16469
30043,11921
30045,1945
30047,30221
30049,67850
30051,2407
30053,19556
30055,1698
30057,8291
30059,1852
30061,4235
30063,117834
30065,4632
30067,16386
30069,512
30071,4113
30073,5968
30075,1750
30077,6789
30079,1099
30081,42524
30083,11027
30085,11160
30087,9205
30089,11689
30091,3471
30093,34811
30095,9419
30097,3676
30099,6091
30101,4860
30103,673
30105,7402
30107,2161
30109,1018
30111,159266
31001,31808
31003,6341
31005,455
31007,726
31009,479
31011,5320
31013,10835
31015,1955
31017,3000
31019,49350
31021,6531
31023,8032
31025,25935
31027,8515
31029,3928
31031,5790
31033,9644
31035,6186
31037,10700
31039,8947
31041,10869
31043,20010
31045,8888
31047,23657
31049,1861
31051,5746
31053,36789
31055,560733
31057,1783
31059,5561
31061,2974
31063,2623
31065,4763
31067,21621
31069,1890
31071,1986
31073,2028
31075,649
31077,2363
31079,61201
31081,9194
31083,3415
31085,893
31087,2806
31089,10182
31091,666
31093,6396
31095,7176
31097,5169
31099,6492
31101,8070
31103,790
31105,3568
31107,8439
31109,313772
31111,35265
31113,765
31115,604
31117,493
31119,35132
31121,7859
31123,4796
31125,3561
31127,6957
31129,4269
31131,15956
31133,2621
31135,2886
31137,9050
31139,7093
31141,33231
31143,5309
31145,10760
31147,7971
31149,1420
31151,14365
31153,181376
31155,21032
31157,36160
31159,17203
31161,5268
31163,3074
31165,1195
31167,5974
31169,5034
31171,722
31173,7196
31175,4227
31177,20328
31179,9213
31181,3505
31183,815
31185,13762
32001,24021
32003,2181635
32005,48030
32007,52357
32009,843
32011,1946
32013,16719
32015,5579
32017,5191
32019,53895
32021,4455
32023,43977
32027,6469
32029,3976
32031,456629
32033,9651
32510,54532
33001,60872
33003,48132
33005,75963
33007,31396
33009,89853
33011,413204
33013,149830
33015,306669
33017,129841
33019,43027
34001,265498
34003,932420
34005,445610
34007,506224
34009,93129
34011,151423
34013,796349
34015,290961
34017,672826
34019,124712
34021,368168
34023,827363
34025,621990
34027,493920
34029,595424
34031,504402
34033,62883
34035,330573
34037,141197
34039,554738
34041,105715
35001,678203
35003,3553
35005,65080
35006,26921
35007,12151
35009,49794
35011,1805
35013,216174
35015,57108
35017,27642
35019,4410
35021,684
35023,4298
35025,69046
35027,19468
35028,18742
35029,24100
35031,72423
35033,4530
35035,66121
35037,8299
35039,39235
35041,18900
35043,142689
35045,126917
35047,27715
35049,149491
35051,11064
35053,16832
35055,32790
35057,15535
35059,4180
35061,75884
36001,307717
36003,46639
36005,1440625
36007,193100
36009,77176
36011,77457
36013,128372
36015,84736
36017,47805
36019,80531
36021,60338
36023,47815
36025,45028
36027,293545
36029,919034
36031,37487
36033,50465
36035,53802
36037,57798
36039,47442
36041,4471
36043,62163
36045,113157
36047,2594676
36049,26605
36051,63483
36053,70942
36055,742724
36057,49163
36059,1357293
36061,1630698
36063,210848
36065,230011
36067,461795
36069,109538
36071,379758
36073,40786
36075,118427
36077,59920
36079,98856
36081,2295808
36083,159200
36085,475671
36087,324622
36089,108699
36091,229276
36093,154710
36095,31255
36097,17913
36099,34246
36101,96360
36103,1483358
36105,74994
36107,48609
36109,102664
36111,178635
36113,64365
36115,61559
36117,90429
36119,969689
36121,40282
36123,25002
37001,163276
37003,37143
37005,10988
37007,24829
37009,26787
37011,17517
37013,47033
37015,19263
37017,33443
37019,130859
37021,257071
37023,90157
37025,206988
37027,81933
37029,10532
37031,68921
37033,22616
37035,157852
37037,71189
37039,27954
37041,14029
37043,11004
37045,97134
37047,56047
37049,102492
37051,330994
37053,26290
37055,36199
37057,165180
37059,42308
37061,58943
37063,312153
37065,52756
37067,375840
37069,66155
37071,219656
37073,11514
37075,8524
37077,59372
37079,20963
37081,528243
37083,51311
37085,132395
37087,61005
37089,115216
37091,23923
37093,54138
37095,5240
37097,175634
37099,43224
37101,196374
37103,9573
37105,60403
37107,56622
37109,82557
37111,45083
37113,34581
37115,21563
37117,22763
37119,1078128
37121,14992
37123,27269
37125,97368
37127,94019
37129,228728
37131,19890
37133,195066
37135,143626
37137,12638
37139,39386
37141,60719
37143,13439
37145,39338
37147,178607
37149,20564
37151,143037
37153,44827
37155,132626
37157,90791
37159,140356
37161,66529
37163,63263
37165,35174
37167,61505
37169,45724
37171,72107
37173,14263
37175,33767
37177,4180
37179,231350
37181,44281
37183,1071706
37185,19849
37187,11944
37189,55181
37191,123034
37193,68489
37195,81436
37197,37588
37199,17697
38001,2324
38003,10679
38005,6916
38007,922
38009,6522
38011,3150
38013,2128
38015,95247
38017,177745
38019,3793
38021,4848
38023,2295
38025,4274
38027,2315
38029,3298
38031,3249
38033,1779
38035,70489
38037,2363
38039,2244
38041,2479
38043,2471
38045,4101
38047,1919
38049,5890
38051,2608
38053,12688
38055,9636
38057,8457
38059,30938
38061,10276
38063,2902
38065,1930
38067,6962
38069,4096
38071,11596
38073,5303
38075,2455
38077,16287
38079,14614
38081,3862
38083,1351
38085,4425
38087,767
38089,30291
38091,1906
38093,21132
38095,2244
38097,7998
38099,10801
38101,68516
38103,3994
38105,33467
39001,27753
39003,103093
39005,53662
39007,97748
39009,66503
39011,45753
39013,68002
39015,43523
39017,380607
39019,27324
39021,38851
39023,134549
39025,204260
39027,42004
39029,103062
39031,36536
39033,41710
39035,1247581
39037,51549
39039,38156
39041,200870
39043,74760
39045,154686
39047,28639
39049,1295510
39051,42265
39053,30162
39055,93881
39057,166566
39059,39066
39061,814170
39063,75973
39065,31329
39067,15202
39069,27179
39071,42903
39073,28436
39075,43895
39077,58393
39079,32386
39081,66318
39083,61271
39085,230159
39087,60075
39089,173617
39091,45198
39093,307441
39095,431039
39097,44041
39099,229791
39101,65076
39103,178176
39105,23071
39107,40858
39109,105200
39111,13931
39113,531467
39115,14644
39117,34911
39119,86123
39121,14400
39123,40623
39125,18831
39127,35972
39129,57740
39131,28088
39133,162473
39135,41116
39137,33860
39139,120430
39141,77295
39143,59093
39145,75976
39147,55267
39149,48738
39151,372003
39153,541514
39155,200281
39157,92308
39159,56798
39161,28283
39163,13082
39165,228709
39167,60491
39169,116168
39171,36707
39173,130437
39175,22063
40001,22119
40003,5913
40005,13779
40007,5364
40009,21779
40011,9512
40013,46481
40015,29356
40017,140001
40019,48273
40021,48891
40023,14804
40025,2152
40027,279542
40029,5630
40031,121786
40033,5863
40035,14332
40037,71890
40039,28974
40041,42672
40043,4899
40045,3970
40047,61600
40049,27857
40051,54829
40053,4379
40055,5793
40057,2710
40059,3784
40061,12726
40063,13265
40065,25112
40067,6164
40069,11121
40071,44403
40073,15688
40075,8849
40077,10318
40079,50020
40081,34961
40083,46785
40085,10076
40087,39306
40089,33031
40091,19701
40093,7684
40095,16364
40097,40988
40099,13918
40101,69027
40103,11303
40105,10322
40107,12076
40109,786068
40111,38819
40113,47346
40115,31368
40117,16419
40119,81908
40121,44154
40123,38371
40125,72185
40127,11118
40129,3661
40131,91435
40133,24845
40135,41742
40137,43340
40139,20924
40141,7399
40143,646437
40145,78984
40147,51996
40149,11055
40151,9069
40153,20531
41001,16083
41003,91790
41005,412442
41007,39101
41009,51724
41011,63708
41013,23065
41015,22630
41017,186744
41019,109197
41021,1862
41023,7188
41025,7258
41027,23398
41029,216746
41031,23652
41033,86584
41035,66810
41037,7874
41039,375264
41041,48757
41043,125035
41045,30385
41047,340531
41049,11198
41051,807885
41053,83711
41055,1735
41057,26522
41059,77120
41061,26383
41063,7025
41065,26296
41067,591336
41069,1348
41071,105238
42001,102562
42003,1220141
42005,65991
42007,165654
42009,48356
42011,417511
42013,123147
42015,60963
42017,626811
42019,186828
42021,132960
42023,4619
42025,63828
42027,162316
42029,518901
42031,38998
42033,79799
42035,38830
42037,65581
42039,85772
42041,249024
42043,275714
42045,563858
42047,30271
42049,273558
42051,131309
42053,7317
42055,154376
42057,14469
42059,36846
42061,45429
42063,84743
42065,43818
42067,24635
42069,210451
42071,541332
42073,86546
42075,139553
42077,365577
42079,317808
42081,114012
42083,41362
42085,111473
42087,46290
42089,167895
42091,824303
42093,18270
42095,302801
42097,91721
42099,46046
42101,1580601
42103,55397
42105,16841
42107,142580
42109,40594
42111,74242
42113,6142
42115,40934
42117,40671
42119,44642
42121,51790
42123,39679
42125,207075
42127,51192
42129,352006
42131,27396
42133,445484
44001,48734
44003,163543
44005,82952
44007,634130
44009,126314
45001,24567
45003,168325
45005,9012
45007,198186
45009,14384
45011,21355
45013,186497
45015,214541
45017,14696
45019,402008
45021,56913
