fips,retail_soda_sales_14_tax_rate,vending_soda_sales_14_tax_rate,retail_chips_pretzels_14_tax_rate,vending_chips_pretzels_14_tax_rate,general_food_tax_rate
8009,2.91,2.91,0.0,0.0,0.0
8011,2.91,2.91,0.0,0.0,0.0
8013,2.91,2.91,0.0,0.0,0.0
8014,2.91,2.91,0.0,0.0,0.0
8015,2.91,2.91,0.0,0.0,0.0
8017,2.91,2.91,0.0,0.0,0.0
8019,2.91,2.91,0.0,0.0,0.0
8021,2.91,2.91,0.0,0.0,0.0
8023,2.91,2.91,0.0,0.0,0.0
8025,2.91,2.91,0.0,0.0,0.0
8027,2.91,2.91,0.0,0.0,0.0
8029,2.91,2.91,0.0,0.0,0.0
8031,2.91,2.91,0.0,0.0,0.0
8033,2.91,2.91,0.0,0.0,0.0
8035,2.91,2.91,0.0,0.0,0.0
8037,2.91,2.91,0.0,0.0,0.0
8039,2.91,2.91,0.0,0.0,0.0
8041,2.91,2.91,0.0,0.0,0.0
8043,2.91,2.91,0.0,0.0,0.0
8045,2.91,2.91,0.0,0.0,0.0
8047,2.91,2.91,0.0,0.0,0.0
8049,2.91,2.91,0.0,0.0,0.0
8051,2.91,2.91,0.0,0.0,0.0
8053,2.91,2.91,0.0,0.0,0.0
8055,2.91,2.91,0.0,0.0,0.0
8057,2.91,2.91,0.0,0.0,0.0
8059,2.91,2.91,0.0,0.0,0.0
8061,2.91,2.91,0.0,0.0,0.0
8063,2.91,2.91,0.0,0.0,0.0
8065,2.91,2.91,0.0,0.0,0.0
8067,2.91,2.91,0.0,0.0,0.0
8069,2.91,2.91,0.0,0.0,0.0
8071,2.91,2.91,0.0,0.0,0.0
8073,2.91,2.91,0.0,0.0,0.0
8075,2.91,2.91,0.0,0.0,0.0
8077,2.91,2.91,0.0,0.0,0.0
8079,2.91,2.91,0.0,0.0,0.0
8081,2.91,2.91,0.0,0.0,0.0
8083,2.91,2.91,0.0,0.0,0.0
8085,2.91,2.91,0.0,0.0,0.0
8087,2.91,2.91,0.0,0.0,0.0
8089,2.91,2.91,0.0,0.0,0.0
8091,2.91,2.91,0.0,0.0,0.0
8093,2.91,2.91,0.0,0.0,0.0
8095,2.91,2.91,0.0,0.0,0.0
8097,2.91,2.91,0.0,0.0,0.0
8099,2.91,2.91,0.0,0.0,0.0
8101,2.91,2.91,0.0,0.0,0.0
8103,2.91,2.91,0.0,0.0,0.0
8105,2.91,2.91,0.0,0.0,0.0
8107,2.91,2.91,0.0,0.0,0.0
8109,2.91,2.91,0.0,0.0,0.0
8111,2.91,2.91,0.0,0.0,0.0
8113,2.91,2.91,0.0,0.0,0.0
